post_id	post_text
125845680811480_1157831110946260	Back home! On both days at #ASEM, we awoke to shocking news - the terror attack in Nice and attempted coup in Turkey. Both resulted in many lives lost. A stark reminder of a troubled world, and why in Singapore we must stay united and look out for one another. Our MFA is watching the situation in Turkey closely. For overseas Singaporeans, wherever you may be, please e-register with MFA (https://eregister.mfa.gov.sg/) and stay safe. LHL
125845680811480_1158332397562798	Enjoyed this song by Singapore talents ??? the Freshman written for ??? (The Provision Shop), a telemovie directed by Royston Tan ???. I played the OST (official sound track) twice - first to absorb the lyrics, then to enjoy the images! The telemovie aired on Channel 8 last night. It explores tensions between locals and foreigners in our communities, and has attracted interest and discussion. I hope to watch it soon. Here it is with English subtitles: youtu.be/i-Sj7M-7a-Y LHL ???????????????????????????????????????????????????????????????????????????????????? http://bit.ly/29Mdz0N?????? ???????????????????????????????????????? youtu.be/i-Sj7M-7a-Y ??????? ???
125845680811480_1158537847542253	A sentimental wefie. My old CO, LTC Chan Cheow Nam (on my left), was in town, so I had tea with him and his family, and our old artillery comrades. We had a good time reminiscing about the old days - it is more than 40 years since I served under LTC Chan in 24 SA, as Survey Platoon Commander. We also naturally caught up with how each other\'s families are doing - quite a few are full time grandfathers! - LHL (Photo by me)
125845680811480_1158987164163988	Delighted that former President SR Nathan was honoured with the Outstanding Member of the South Asian Diaspora (OMSAD) 2016 Award at the South Asian Diaspora Convention (SADC) last night. Mr Nathan was not only an outstanding Singaporean, but contributed much to the global South Asian community. In fact, the SADC was first mooted by Mr Nathan, as a platform for Singapore to network with prominent members of the South Asian diaspora. After the award presentation, I had an interesting dialogue where we discussed the effects of globalisation, India-China relations, Indias potential, and other issues. You can watch the full dialogue session here: http://bit.ly/29QwjgS LHL
125845680811480_1159321397463898	Heres my speech from the joint press conference held during the HSR Memorandum of Understanding Signing Ceremony. - LHL (PMO Video by Alex Qiu)
125845680811480_1159550824107622	Caught up with PM Najib Razak over lunch before witnessing the signing of the Memorandum of Understanding on our High Speed Rail (HSR) in Putrajaya this afternoon. PM Najib and I agreed to build the HSR between KL and Singapore three years ago (bit.ly/29PWwem). Since then our officials have worked hard and long, through several Ramadans and Rayas, to reach agreement on key issues. The HSR is a massive, long-term investment. Good execution will be crucial. We need to work closely together on many joint decisions and implementation issues. PM Najib and I will give full attention to this, because we want this major project to be done right. With the HSR, people will think of Singapore-KL the same way as they think of London-Paris, Seoul-Busan, Taipei-Kaohsiung, Shanghai-Nanjing, or Tokyo-Osaka. If all goes well, the first trains will start running around 2026, just 10 years from now! - LHL
125845680811480_1159946060734765	There is an old proverb: measure twice, cut once. Building and Construction Authority (Singapore) (BCA) has put a new spin on that, with Build Twice: First Virtual, Then Real. :) Saw firsthand this morning how BCA is rolling out new technologies to build greener, more environmentally sustainable buildings. One of them is the Skylab, a rotating structure built atop the new Academic Tower at the BCA Academy. It is fitted with over 200 sensors. The structure can be rotated, to position the sun and wind at different angles. Designers and researchers use it to test strategies for lighting, cooling and ventilating a building which use less energy. LHL
125845680811480_1160302494032455	Happy Racial Harmony Day! Harmony between our different races and religions is a fundamental principle of our nation. We celebrate our diversity, and share each others customs and cultures. Unfortunately, in many countries, we are seeing more cases where people reject diversity and inclusion. Just look at the extremist terrorist attacks in recent weeks - Orlando in the US, Dhaka in Bangladesh, Nice in France, Puchong in Malaysia - each incident chilling, driven by hatred, and heartbreaking. In Singapore, we must always stay united as one people, and never allow any such event to break or divide us. LHL [Young ones attending school in colourful ethnic costumes to celebrate Racial Harmony Day. / ST Photo © Singapore Press Holdings Limited. Reproduced with permission.]
125845680811480_1160571570672214	Came across this music video by Liang Wenfu, commissioned for the launch of Lianhe Zaobao\'s new look. For a language to stay alive, it needs to be part of our daily life. Zaobaos makeover aims to make the Chinese language and news more accessible to its readers, and encourage interest in and use of Chinese. If you wish to improve your Chinese, do take a look at the new Zaobao. You will surely find something that interests you. - LHL ????????????????????????????????? ????????????????????????????????????????:) ? ??? #zb #?????
125845680811480_1161184287277609	Attended Mr Chor Yeok Engs wake today. Mr Chor belonged to the Pioneer Generation who built Singapore. He dedicated his life to the country and to improving the lives of Singaporeans. As a young man, he joined the PAP to fight for an independent Singapore. As MP for Bukit Timah, he saw the poor neighbourhood turn into a beautiful modern estate, and improved the lives of residents. Mr Chors integrity and character shone on many occasions. In 1956, when a 2,000 strong mob threatened to burn down the former Yeo Hiap Seng factory in Bukit Timah, he stopped them. He reminded them that they were against the colonialists and not the local manufacturer. Mr Lee Kuan Yew considered Mr Chor one of his oldest, most steadfast and courageous party comrades. He said that if he had to choose one other to go to battle with him, he would pick Mr Chor. After retiring in 1984, Mr Chor kept a watchful eye over his old constituency. I often met him when I visited Bukit Timah for constituency events, and was glad to see him again last year when we celebrated the 60th Anniversary of Bukit Timah. I would like to express my deepest condolences to Mr Chors family at this time of sorrow. LHL (Speaking to Mr Chor at the 60th Anniversary of Bukit Timah celebrations last year. / MCI Photo by Chwee.)
125845680811480_1161632200566151	Shocked to learn of the shootings in #Munich last night. Singapore condemns this senseless act. We have seen so many brutal terrorist attacks in recent months, one after another. We are at risk of becoming numbed, and have to remind ourselves of the terrible human tragedy each time. Our thoughts are with the people of Germany during this time and our deep condolences to the families of the victims. - LHL
125845680811480_1162191427176895	Took a wefie with the exuberant Dikir Barat performers from Yio Chu Kang Community Club last night. They put up an exciting show, at the Hari Raya celebrations for residents young and old of Ang Mo Kio GRC and Sengkang West SMC. Heartened to see residents of all races joining in and celebrating with their Malay friends. Many families turned up in beautiful matching baju kurung - it was a very colourful sight! :). In a troubled world, such occasions remind us how precious the harmony we enjoy in Singapore is. Selamat Hari Raya Aidilfitri to all! - LHL ========== Mengambil "wefie" bersama kumpulan Dikir Barat dari Kelab Masyarakat Yio Chu Kang malam tadi. Persembahan mereka untuk penduduk GRC Ang Mo Kio dan SMC Sengkang West sungguh bertenaga dan menarik sekali. Saya gembira melihat penduduk berbilang kaum bersuka ria meraikan perayaan Mustika Aidilfitri ini bersama rakan-rakan Melayu kita. Seronok melihat banyak keluarga yang datang mengenakan baju kurung sedondon. Mereka kelihatan cantik sekali - sungguh berwarna-warni! Sedang kita menyaksikan dunia yang semakin kocar-kacir, majlis sebegini mengingatkan kita betapa berharganya keharmonian yang kita nikmati di Singapura. Selamat Hari Raya Aidilfitri! - LHL (MCI Photo by Chwee)
125845680811480_1162462620483109	Joined my fellow Ang Mo Kio Town Council MPs for a dialogue with residents this morning. (The Town Council includes AMK GRC and Sengkang West SMC.) Heard their feedback and updated them on the Ang Mo Kio-Sengkang West 2.0 Masterplan unveiled last year (bit.ly/2a4tMg5). We have made progress. The first phase of Ang Mo Kio as a cycling town has been completed (bit.ly/2a4IqUv). Other projects on the way include more Home Improvement Programmes, a new polyclinic, a nursing home, pre-schools, Family Service Centres, and the Lentor MRT Station on the Thomson Line. With our residents support and the hard work of the Town Council and partners, Ang Mo Kios development under the Masterplan will be completed as envisioned. - LHL
125845680811480_1162851957110842	Rounded out my Sunday celebrating Jalan Kayu Day with Dr Intan Mokhtar and her residents. We launched the HOME@JK initiative, which helps low-income Jalan Kayu residents retrofit their homes. The scheme provides essential upgrades such as wheelchair-friendly fittings, or even a new coat of paint, to make the homes more comfortable to live in. Events like Jalan Kayu Day are a great way to bring residents together. But after the carnivals and games are over, it is the day-to-day ways we look after each other that make a community great. Happy to see a strong community spirit in Jalan Kayu! LHL
125845680811480_1164218173640887	MCI Photo by Terence Tan
125845680811480_1164220086974029	Two weeks to National Day! Many happy and excited students have already caught a sneak peek of the NDP during the National Education Shows at the National Stadium. - LHL (MCI Photo by Terence Tan)
125845680811480_1165130923549612	Denise Phua Lay Peng shared this heartwarming music video with me. It stars The Harvard Din & Tonics, a Harvard University a capella group. They will be performing at A Very Special Walk (AVSW) this Saturday, 30 July at the Enabling Village. This annual fundraising event is in support of the Autism Resource Centre Singapore / Pathlight School. With community support, people with autism can lead fulfilling and independent lives, just like you and me. May this video will inspire you to stand by people with autism, and their caregivers too! :) LHL
